		Parts & Accessories Module	Supplier	Code	Supplier Description	P&A	MU	CTD	MU	GP	Sell	Base List	Install Type	TTF (Hours)	Labour ($)	Parts CTD	Sundry CTD	Total CTD	MU	GP	Parts	Sundry	Labour	Sell inc Install (if appl.)		Operation Code	Operation Description																															
		PFD50 Vortex - Adult XX/L (60+kg)	BBB	BBB-EV50XXL	PFD50 Vortex - Adult XX/L (60+kg)	68.07	0.2	81.684	0.25761804915617165	21.043272727272722	113	102.72727272727272	Labour Estimated - (0.05)	0.05	6.504545454545454	81.684	0	88.18854545454545	0.23701903153780016	20.90236363636363	113	0	7.95	120		PFD-EV50XXL	PFD50 Vortex - Adult XX/L (60+kg)																															
		PFD50 Vortex - Adult XXX/L (60+kg)	BBB	BBB-EV50XXXL	PFD50 Vortex - Adult XXX/L (60+kg)	68.07	0.2	81.684	0.25761804915617165	21.043272727272722	113	102.72727272727272	Labour Estimated - (0.05)	0.05	6.504545454545454	81.684	0	88.18854545454545	0.23701903153780016	20.90236363636363	113	0	7.95	120		PFD-EV50XXXL	PFD50 Vortex - Adult XXX/L (60+kg)																															
																																																										
		ANCHOR KITS																									ANCHOR KITS																															
		Sand Anchor Kit - 4lb	BLA	146013	BLA SAND ANCHOR KIT 4LB ANCHOR 30MX6MM ROPE 2MX6MM CHAIN	33.56	0.2	40.272000000000006	0.3318524939502291	13.364363636363628	59	53.63636363636363	Labour Estimated - (0.25)	0.25	32.522727272727266	40.272000000000006	2.5	75.29472727272727	0.23152411976209844	17.432545454545448	59	4	39.75	102		ANCKT004	Sand Anchor Kit - 4lb																															
		Sand Anchor Kit - 6lb	BLA	146015	BLA SAND ANCHOR KIT 6LB ANCHOR 30MX6MM ROPE 2MX6MM CHAIN	40.29	0.2	48.348	0.4854426619132501	23.470181818181814	79	71.81818181818181	Labour Estimated - (0.25)	0.25	32.522727272727266	48.348	2.5	83.37072727272727	0.33031214356903127	27.53836363636364	79	4	39.75	122		ANCKT006	Sand Anchor Kit - 6lb																															
		Sand Anchor Kit - 8lb	SAW	46080	Anchor kit sand 8lb incl 2m gal chain & 8mm x 50m silver rope	64.6	0.2	77.52	0.39553429027113235	30.661818181818177	119	108.18181818181817	Labour Estimated - (0.25)	0.25	32.522727272727266	77.52	2.5	112.54272727272726	0.30859390776836265	34.72999999999999	119	4	39.75	162		ANCKT008	Sand Anchor Kit - 8lb																															
		Sand Anchor Kit - 10lb	SAW	46085	Anchor kit sand 10lb incl 2m gal chain & 10mm x 50m silver rope	86.7	0.2	104.04	0.38932578378945143	40.505454545454526	159	144.54545454545453	Labour Estimated - (0.25)	0.25	32.522727272727266	104.04	2.5	139.06272727272727	0.3205289960710993	44.57363636363635	159	4	39.75	202		ANCKT010	Sand Anchor Kit - 10lb																															
		Sand Anchor Kit - 13lb	SAW	46090	Anchor kit sand 13lb incl 2m gal chain & 10mm x 50m silver rope	93.5	0.2	112.2	0.3693080538000323	41.43636363636362	169	153.63636363636363	Labour Estimated - (0.25)	0.25	32.522727272727266	112.2	2.5	147.22272727272727	0.3090864182284109	45.50454545454545	169	4	39.75	212		ANCKT013	Sand Anchor Kit - 13lb																															
																																																										
		Reef Anchor Kit - 8mm w 50mtr Rope & 4mtr Chain	BLA	146406	BLA REEF ANCHOR KIT 8MM ANCHOR 50MX8MM ROPE 4MX8MM CHAIN	47.56	0.2	57.072	0.4176669979865942	23.837090909090904	89	80.9090909090909	Labour Estimated - (0.10)	0.1	13.009090909090908	57.072	1	71.0810909090909	0.35568595151248517	25.282545454545456	89	2	15.9	106		DFO-BLA-146406	Reef Anchor Kit - 8mm w 50mtr Rope & 4mtr Chain																															
		Reef Anchor Kit - 10mm w 50mtr Rope & 4mtr Chain	BLA	146409	BLA REEF ANCHOR KIT 10MM ANCHOR 50MX8MM ROPE 4MX8MM CHAIN	48.74	0.2	58.488	0.38334514616828935	22.421090909090907	89	80.9090909090909	Labour Estimated - (0.10)	0.1	13.009090909090908	58.488	1	72.4970909090909	0.3292069399649893	23.86654545454546	89	2	15.9	106		DFO-BLA-146409	Reef Anchor Kit - 10mm w 50mtr Rope & 4mtr Chain																															
		Reef Anchor Kit - 13mm w 50mtr Rope & 4mtr Chain	BLA	146415	BLA REEF ANCHOR KIT 13MM ANCHOR 50MX10MM ROPE 4MX8MM CHAIN	75.13	0.2	90.15599999999999	0.4016109450689513	36.20763636363637	139	126.36363636363636	Labour Estimated - (0.10)	0.1	13.009090909090908	90.15599999999999	1	104.1650909090909	0.3614751408603126	37.653090909090906	139	2	15.9	156		DFO-BLA-146415	Reef Anchor Kit - 13mm w 50mtr Rope & 4mtr Chain																															
																																																										
