		RIGGING KIT DESCRIPTION	Part Number	Build	Dealer	Factory	Kit CTD	MU	GP ($)	Kit Sell Price	Trade Price	Sub Dealer Price		NSM Lab	NSM Lab ($)	Additional Parts	Sundry	Total Install CTD	Install MU	Instal GP	Install Retail Sell	Install Trade Sell	Install Sub Dealer Sell		Total CTD	MU	GP	Sell Price	Trade Price	Sub Dealer Price		Parts & Accessories	CTD	Parts & Accessories	CTD	Parts & Accessories	CTD	Parts & Accessories	CTD	 	Fuel Filter	 	 	 	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	 	Dealer 1/7/22	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 2 Gauges, 14' Cables & Filter (up to 70HP)	703-6Y52S-14-05	Service	1117.36	44.694399999999995	1162.0544	0.25170168844544155	292.4910545454545	1600	1520	1520		5.15	669.9681818181817	0	41.5	711.4681818181817	0.12443538649271989	88.53181818181815	880	836	836		1873.5225818181816	0.2033724474019976	381.0228727272729	2480	2356	2356		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 14 Ft	.	.	.	.	.	.	.	.	.	 	1117.36	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 2 Gauges, 15' Cables & Filter (up to 70HP)	703-6Y52S-15-05	Service	1117.36	44.694399999999995	1162.0544	0.25170168844544155	292.4910545454545	1600	1520	1520		5.15	669.9681818181817	0	41.5	711.4681818181817	0.12443538649271989	88.53181818181815	880	836	836		1873.5225818181816	0.2033724474019976	381.0228727272729	2480	2356	2356		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 15 Ft	.	.	.	.	.	.	.	.	.	 	1117.36	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 2 Gauges, 16' Cables & Filter (up to 70HP)	703-6Y52S-16-05	Service	1117.36	44.694399999999995	1162.0544	0.25170168844544155	292.4910545454545	1600	1520	1520		5.15	669.9681818181817	0	41.5	711.4681818181817	0.12443538649271989	88.53181818181815	880	836	836		1873.5225818181816	0.2033724474019976	381.0228727272729	2480	2356	2356		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 16 Ft	.	.	.	.	.	.	.	.	.	 	1117.36	 	 	 	 	 	 	 	 
		 	 		 	 	 			 				 	 		 	 							 			 						 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 2 Gauges, 7m Harness 17' Cables & Filter (up to 70HP)	703-6Y52S-17-07	Service	1222.94	48.9176	1271.8576	0.25085472690424676	319.0514909090907	1750	1662.5	1662.5		5.5	715.4999999999999	0	45	760.4999999999999	0.1236626621242007	94.04545454545462	940	893	893		2032.3575999999998	0.20325997031946802	413.0969454545452	2690	2555.5	2555.5		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 16 Ft	.	.	.	.	.	.	.	.	.	 	1117.36	 	 	 	 	 	 	 	 
		 	 		 	 	 			 				 	 		 	 							 			 						 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y8 2 Gauges, Cables & Filter (up to 70HP)	703-6Y82S-##-05	Service	1325.94	53.037600000000005	1378.9776000000002	0.2525748984412269	348.29512727272686	1900	1805	1805		5.15	669.9681818181817	0	41.5	711.4681818181817	0.12443538649271989	88.53181818181815	880	836	836		2090.445781818182	0.2089635374683631	436.82694545454524	2780	2641	2641		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 8 Ft	Control Cables (Supplied in Kit) - 11 Ft	Control Cables (Supplied in Kit) - 12 Ft	Control Cables (Supplied in Kit) - 13 Ft	Control Cables (Supplied in Kit) - 14 Ft	Control Cables (Supplied in Kit) - 15 Ft	Control Cables (Supplied in Kit) - 16 Ft	.	.	.	 	1066.94	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y8 2 Gauges, 8' Cables & Filter (up to 70HP)	703-6Y82S-08-05	Service	1325.94	53.037600000000005	1378.9776000000002	0.2525748984412269	348.29512727272686	1900	1805	1805		5.15	669.9681818181817	0	41.5	711.4681818181817	0.12443538649271989	88.53181818181815	880	836	836		2090.445781818182	0.2089635374683631	436.82694545454524	2780	2641	2641		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 8 Ft	.	.	.	.	.	.	.	.	.	 	1325.94	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y8 2 Gauges, 9' Cables & Filter (up to 70HP)	703-6Y82S-09-05	Service	1325.94	53.037600000000005	1378.9776000000002	0.2525748984412269	348.29512727272686	1900	1805	1805		5.15	669.9681818181817	0	41.5	711.4681818181817	0.12443538649271989	88.53181818181815	880	836	836		2090.445781818182	0.2089635374683631	436.82694545454524	2780	2641	2641		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 9 Ft	.	.	.	.	.	.	.	.	.	 	1325.94	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y8 2 Gauges, 10' Cables & Filter (up to 70HP)	703-6Y82S-10-05	Service	1325.94	53.037600000000005	1378.9776000000002	0.2525748984412269	348.29512727272686	1900	1805	1805		5.15	669.9681818181817	0	41.5	711.4681818181817	0.12443538649271989	88.53181818181815	880	836	836		2090.445781818182	0.2089635374683631	436.82694545454524	2780	2641	2641		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 10 Ft	.	.	.	.	.	.	.	.	.	 	1325.94	 	 	 	 	 	 	 	 
