Description	Code	CTD	Inflation	Adj CTD	Tot Parts CTD	Parts Sell	Total Lab	Labour CTD	Labour Ret	Sundry 1	Sublet	Act CTD	MU	GP	Act Sell	Rebate	Image Link
Garmin GPSMap 8410XSV w GT51 TM (600w) TDucer, TDucer Cover & Navionics Vision+ Chart	GAR-8410XSV-KIT03	4665.497	0	0	4665.497	5406	3.8	494.3454545454544	604.1999999999999	17.5	0	5177.342454545455	0.05968722071820379	309.0211818181815	6035		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8410-1.jpeg
Garmin GPSMap 8410XSV w GT51 TM (600w) TDucer, Ext Ant, NMEA Starter Kit & Navionics Vision+ Chart	GAR-8410XSV-KIT04	5182.093000000001	0	0	5182.093000000001	5994	6.3	819.5727272727271	1001.7	32.5	0	6034.165727272728	0.06077780760624215	366.7433636363621	7041		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8410-1.jpeg
Garmin GPSMap 8410XSV w GT51 TDucer, Reactor Auto Pilot, GMR24 Radar, Ext Ant, NMEA Starter Kit & Navionics Vision+ Chart	GAR-8410XSV-KIT05	13559.698	0	0	13559.698	16232	17.8	2315.618181818181	2830.2	90	0	15965.31618181818	0.09248185148262111	1476.501999999997	19186		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8410-1.jpeg
Garmin GPSMap 8410XSV w Airmar (1kw) TDucer & Custom Bracket, Ext Ant, NMEA Starter Kit & Navionics Vision+ Chart	GAR-8410XSV-KIT06	6416.09	0	0	6416.09	7435	12.55	1632.640909090909	1995.45	40	0	8088.730909090909	0.06612971312276857	534.9054545454528	9486		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8410-1.jpeg
Garmin GPSMap 8410XSV w Airmar 1kW (350m) TM185 TDucer, Ext Ant, NMEA Starter Kit & Navionics Vision+ Chart	GAR-8410XSV-KIT07	5581.09	0	0	5581.09	6435	6.55	852.0954545454543	1041.45	35	0	6468.185454545454	0.05762414188382737	372.7236363636357	7525		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8410-1.jpeg
Garmin GPSMap 8410XSV w Airmar 1kW (500m) TM275 LHW TDucer, Ext Ant, NMEA Starter Kit & Navionics Vision+ Chart	GAR-8410XSV-KIT08	6701.09	0	0	6701.09	7695	6.05	787.0499999999998	961.9499999999999	30	0	7518.14	0.05188009510089155	390.0418181818168	8699		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8410-1.jpeg
Garmin GPSMap 8412XSV w GT56 UHD TDucer & Garmin Navionics Vision+ Chart	GAR-8412XSV-KIT00	5429.497	0	0	5429.497	6297	3.55	461.8227272727271	564.4499999999999	15	0	5906.319727272728	0.05941991226439308	350.9529999999995	6883		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8412-1.jpeg
Garmin GPSMap 8412XSV w GT56 UHD TDucer, Ext Ant, NMEA Starter Kit & Garmin Navionics Vision+ Chart	GAR-8412XSV-KIT01	5946.093000000001	0	0	5946.093000000001	6885	6.05	787.0499999999998	961.9499999999999	30	0	6763.143000000001	0.06042681366018434	408.6751818181801	7889		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8412-1.jpeg
Garmin GPSMap 8412XSV w GT56 UHD TDucer, Ext Ant, NMEA Starter Kit, Yamaha Bus Cable & Garmin Navionics Vision+ Chart	GAR-8412XSV-KIT02	5980.393000000001	0	0	5980.393000000001	6924	6.3	819.5727272727271	1001.7	32.5	0	6832.465727272728	0.0605781171267025	413.8979090909079	7971		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8412-1.jpeg
Garmin GPSMap 8412XSV w GT56 UHD & 1KW Airmar TDucers w Custom Bracket, Ext Ant, NMEA Starter Kit & Garmin Navionics Vision+ Chart	GAR-8412XSV-KIT03	6921.793000000001	0	0	6921.793000000001	8204	7.55	982.1863636363635	1200.45	40	0	7943.979363636364	0.08258085857656888	656.0206363636362	9460		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8412-1.jpeg
